P,S
4,2
3,2
6,2
5,2
4,2
9,2
5,2
4,2
6,3
5,3
5,3
5,3
5,3
5,3
4,3
4,3
4,3
6,3
6,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
6,3
5,3
5,3
7,3
6,3
5,3
5,3
5,3
5,3
8,4
7,4
7,4
7,4
7,4
6,4
6,4
5,4
5,4
5,4
5,4
5,4
5,4
7,4
7,4
7,4
6,4
6,4
5,4
5,4
4,4
8,4
7,4
7,4
6,4
6,4
1,4
6,4
6,4
6,4
6,4
5,4
2,4
6,4
5,4
5,4
10,5
8,5
8,5
8,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
4,5
6,5
7,5
7,5
7,5
7,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
5,5
5,5
5,5
5,5
5,5
5,5
3,5
10,5
9,5
8,5
8,5
8,5
7,5
7,5
7,5
7,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,5
4,5
9,5
7,5
7,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
5,5
5,5
5,5
9,6
9,6
8,6
8,6
8,6
7,6
7,6
6,6
5,6
5,6
5,6
5,6
9,6
9,6
8,6
8,6
8,6
7,6
7,6
7,6
6,6
6,6
6,6
6,6
6,6
6,6
5,6
5,6
5,6
5,6
7,6
10,6
10,6
9,6
9,6
8,6
8,6
8,6
8,6
8,6
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
5,6
5,6
5,6
5,6
5,6
10,6
10,6
8,6
8,6
7,6
7,6
7,6
7,6
6,6
6,6
6,6
5,6
10,7
10,7
9,7
8,7
8,7
7,7
7,7
7,7
6,7
6,7
6,7
6,7
6,7
6,7
5,7
5,7
10,7
10,7
9,7
8,7
8,7
8,7
7,7
7,7
7,7
7,7
7,7
6,7
10,7
10,7
9,7
9,7
9,7
8,7
8,7
8,7
7,7
7,7
7,7
7,7
6,7
6,7
6,7
5,7
9,7
8,7
7,7
6,7
10,8
10,8
9,8
9,8
8,8
7,8
7,8
6,8
6,8
10,8
10,8
9,8
10,8
10,8
9,8
8,8
8,8
8,8
8,8
8,8
7,8
6,8
6,8
10,8
10,8
8,8
8,8
8,8
10,9
7,9
7,9
5,9
9,9
9,9
7,9
7,9
7,9
10,9
9,9
9,9
9,9
5,9
10,9
10,9
10,9
10,9
10,9
10,9
9,9
8,9
8,9
8,9
7,9
7,9
10,10
10,10
8,10
10,10
10,10
10,10
10,10
9,10
9,10
8,10
9,10
